% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 1.000 kHz, stop freq 50.000 kHz, RBW 98.71 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 4 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:29:17 -0700
% Frequency (Hz), Input A (V/rtHz)
9.959017356428e+02, 1.147971e-06
1.044808110843e+03, 1.175258e-06
1.093714486043e+03, 1.176560e-06
1.142620861244e+03, 1.101639e-06
1.191527236444e+03, 1.167935e-06
1.240433611644e+03, 1.255430e-06
1.289339986845e+03, 1.361519e-06
1.338246362045e+03, 1.652148e-06
1.387152737245e+03, 1.688194e-06
1.436059112446e+03, 1.472224e-06
1.484965487646e+03, 1.314471e-06
1.533871862846e+03, 1.332153e-06
1.582778238047e+03, 2.102331e-06
1.631684613247e+03, 4.818883e-06
1.680590988447e+03, 6.242608e-06
1.729497363648e+03, 4.301174e-06
1.778403738848e+03, 1.832625e-06
1.827310114048e+03, 1.332147e-06
1.876216489249e+03, 1.324777e-06
1.925122864449e+03, 1.159444e-06
1.974029239649e+03, 1.162954e-06
2.022935614850e+03, 1.284795e-06
2.071841990050e+03, 1.166565e-06
2.120748365250e+03, 8.667369e-07
2.169654740450e+03, 6.648382e-07
2.218561115651e+03, 7.262886e-07
2.267467490851e+03, 9.349634e-07
2.316373866051e+03, 1.275826e-06
2.365280241252e+03, 1.754059e-06
2.414186616452e+03, 2.520052e-06
2.463092991652e+03, 3.928396e-06
2.511999366853e+03, 4.971425e-06
2.560905742053e+03, 3.644759e-06
2.609812117253e+03, 1.908073e-06
2.658718492454e+03, 1.562445e-06
2.707624867654e+03, 1.408654e-06
2.756531242854e+03, 1.170425e-06
2.805437618055e+03, 8.465369e-07
2.854343993255e+03, 6.776210e-07
2.903250368455e+03, 6.487754e-07
2.952156743656e+03, 6.710676e-07
3.001063118856e+03, 6.755625e-07
3.049969494056e+03, 6.371603e-07
3.098875869257e+03, 5.396766e-07
3.147782244457e+03, 4.955916e-07
3.196688619657e+03, 4.810878e-07
3.245594994858e+03, 5.678202e-07
3.294501370058e+03, 1.128837e-06
3.343407745258e+03, 2.368542e-06
3.392314120458e+03, 3.526839e-06
3.441220495659e+03, 3.027819e-06
3.490126870859e+03, 1.479223e-06
3.539033246059e+03, 1.007752e-06
3.587939621260e+03, 1.118950e-06
3.636845996460e+03, 7.847086e-07
3.685752371660e+03, 4.514999e-07
3.734658746861e+03, 4.073609e-07
3.783565122061e+03, 4.318465e-07
3.832471497261e+03, 4.589036e-07
3.881377872462e+03, 4.906783e-07
3.930284247662e+03, 5.643107e-07
3.979190622862e+03, 6.231627e-07
4.028096998063e+03, 6.692049e-07
4.077003373263e+03, 7.164012e-07
4.125909748463e+03, 8.258307e-07
4.174816123664e+03, 1.060010e-06
4.223722498864e+03, 9.423333e-07
4.272628874064e+03, 6.590003e-07
4.321535249265e+03, 5.460747e-07
4.370441624465e+03, 5.096027e-07
4.419347999665e+03, 5.046758e-07
4.468254374866e+03, 4.850630e-07
4.517160750066e+03, 4.756548e-07
4.566067125266e+03, 5.091100e-07
4.614973500467e+03, 5.318409e-07
4.663879875667e+03, 5.300794e-07
4.712786250867e+03, 5.295867e-07
4.761692626067e+03, 5.177691e-07
4.810599001268e+03, 5.166825e-07
4.859505376468e+03, 4.743320e-07
4.908411751668e+03, 4.531534e-07
4.957318126869e+03, 6.038333e-07
5.006224502069e+03, 8.203842e-07
5.055130877269e+03, 7.684298e-07
5.104037252470e+03, 5.332582e-07
5.152943627670e+03, 4.667798e-07
5.201850002870e+03, 4.896389e-07
5.250756378071e+03, 4.996140e-07
5.299662753271e+03, 4.499881e-07
5.348569128471e+03, 3.989583e-07
5.397475503672e+03, 3.863038e-07
5.446381878872e+03, 3.767471e-07
5.495288254072e+03, 3.674603e-07
5.544194629273e+03, 3.657596e-07
5.593101004473e+03, 3.637821e-07
5.642007379673e+03, 3.788865e-07
5.690913754874e+03, 4.097433e-07
5.739820130074e+03, 4.298353e-07
5.788726505274e+03, 4.450207e-07
5.837632880475e+03, 4.965837e-07
5.886539255675e+03, 5.591679e-07
5.935445630875e+03, 5.631094e-07
5.984352006075e+03, 5.095352e-07
6.033258381276e+03, 4.343639e-07
6.082164756476e+03, 3.885039e-07
6.131071131676e+03, 4.095341e-07
6.179977506877e+03, 4.398847e-07
6.228883882077e+03, 4.655717e-07
6.277790257277e+03, 4.899561e-07
6.326696632478e+03, 4.993441e-07
6.375603007678e+03, 5.013958e-07
6.424509382878e+03, 4.739878e-07
6.473415758079e+03, 4.556438e-07
6.522322133279e+03, 4.842531e-07
6.571228508479e+03, 5.437462e-07
6.620134883680e+03, 5.787807e-07
6.669041258880e+03, 6.062697e-07
6.717947634080e+03, 6.372345e-07
6.766854009281e+03, 6.457653e-07
6.815760384481e+03, 5.940876e-07
6.864666759681e+03, 5.260502e-07
6.913573134882e+03, 5.093394e-07
6.962479510082e+03, 5.244776e-07
7.011385885282e+03, 5.516697e-07
7.060292260483e+03, 5.823847e-07
7.109198635683e+03, 5.834511e-07
7.158105010883e+03, 5.850034e-07
7.207011386083e+03, 6.184585e-07
7.255917761284e+03, 6.697110e-07
7.304824136484e+03, 7.006758e-07
7.353730511684e+03, 7.232312e-07
7.402636886885e+03, 7.650823e-07
7.451543262085e+03, 7.749494e-07
7.500449637285e+03, 7.921123e-07
7.549356012486e+03, 8.775017e-07
7.598262387686e+03, 1.005626e-06
7.647168762886e+03, 8.996049e-07
7.696075138087e+03, 7.321468e-07
7.744981513287e+03, 6.780799e-07
7.793887888487e+03, 6.390500e-07
7.842794263688e+03, 6.452659e-07
7.891700638888e+03, 7.138028e-07
7.940607014088e+03, 7.752194e-07
7.989513389289e+03, 7.848773e-07
8.038419764489e+03, 7.811451e-07
8.087326139689e+03, 8.570654e-07
8.136232514890e+03, 9.676693e-07
8.185138890090e+03, 1.050325e-06
8.234045265290e+03, 1.110804e-06
8.282951640491e+03, 1.108556e-06
8.331858015691e+03, 1.093222e-06
8.380764390891e+03, 1.288480e-06
8.429670766092e+03, 1.674500e-06
8.478577141292e+03, 1.523712e-06
8.527483516492e+03, 1.158891e-06
8.576389891692e+03, 1.134507e-06
8.625296266893e+03, 1.131260e-06
8.674202642093e+03, 1.107449e-06
8.723109017293e+03, 1.105465e-06
8.772015392494e+03, 1.160828e-06
8.820921767694e+03, 1.184774e-06
8.869828142894e+03, 1.097832e-06
8.918734518095e+03, 9.051054e-07
8.967640893295e+03, 7.848233e-07
9.016547268495e+03, 9.350578e-07
9.065453643696e+03, 1.228460e-06
9.114360018896e+03, 1.476813e-06
9.163266394096e+03, 4.405056e-06
9.212172769297e+03, 1.662932e-05
9.261079144497e+03, 2.964217e-05
9.309985519697e+03, 2.676287e-05
9.358891894898e+03, 1.200634e-05
9.407798270098e+03, 2.465323e-06
9.456704645298e+03, 1.088201e-06
9.505611020499e+03, 1.069682e-06
9.554517395699e+03, 1.043117e-06
9.603423770899e+03, 9.702677e-07
9.652330146100e+03, 9.150333e-07
9.701236521300e+03, 9.118477e-07
9.750142896500e+03, 8.499789e-07
9.799049271700e+03, 7.938401e-07
9.847955646901e+03, 7.255799e-07
9.896862022101e+03, 6.721879e-07
9.945768397301e+03, 6.566111e-07
9.994674772502e+03, 6.303706e-07
1.004358114770e+04, 6.523321e-07
1.009248752290e+04, 8.502219e-07
1.014139389810e+04, 8.869706e-07
1.019030027330e+04, 7.246957e-07
1.023920664850e+04, 6.491196e-07
1.028811302370e+04, 6.130120e-07
1.033701939890e+04, 6.006814e-07
1.038592577410e+04, 6.343593e-07
1.043483214930e+04, 6.400083e-07
1.048373852450e+04, 6.021257e-07
1.053264489971e+04, 5.784095e-07
1.058155127491e+04, 5.825737e-07
1.063045765011e+04, 5.888908e-07
1.067936402531e+04, 5.628799e-07
1.072827040051e+04, 5.469520e-07
1.077717677571e+04, 5.632241e-07
1.082608315091e+04, 5.508732e-07
1.087498952611e+04, 5.646414e-07
1.092389590131e+04, 6.368295e-07
1.097280227651e+04, 6.277182e-07
1.102170865171e+04, 5.328195e-07
1.107061502691e+04, 4.766806e-07
1.111952140211e+04, 4.508384e-07
1.116842777731e+04, 4.177139e-07
1.121733415251e+04, 4.119435e-07
1.126624052771e+04, 4.294573e-07
1.131514690291e+04, 4.420106e-07
1.136405327811e+04, 4.270816e-07
1.141295965331e+04, 4.386901e-07
1.146186602851e+04, 4.482265e-07
1.151077240371e+04, 4.480443e-07
1.155967877891e+04, 4.549823e-07
1.160858515411e+04, 4.519587e-07
1.165749152931e+04, 4.675424e-07
1.170639790451e+04, 5.053844e-07
1.175530427971e+04, 6.019907e-07
1.180421065491e+04, 6.264562e-07
1.185311703011e+04, 5.182684e-07
1.190202340531e+04, 4.454189e-07
1.195092978051e+04, 4.293966e-07
1.199983615571e+04, 4.132933e-07
1.204874253092e+04, 4.013069e-07
1.209764890612e+04, 3.869044e-07
1.214655528132e+04, 3.879505e-07
1.219546165652e+04, 3.894015e-07
1.224436803172e+04, 3.751745e-07
1.229327440692e+04, 3.569722e-07
1.234218078212e+04, 3.585515e-07
1.239108715732e+04, 3.696605e-07
1.243999353252e+04, 3.780091e-07
1.248889990772e+04, 4.085014e-07
1.253780628292e+04, 4.200559e-07
1.258671265812e+04, 4.311851e-07
1.263561903332e+04, 4.603209e-07
1.268452540852e+04, 4.799269e-07
1.273343178372e+04, 4.376237e-07
1.278233815892e+04, 4.038378e-07
1.283124453412e+04, 4.017186e-07
1.288015090932e+04, 3.916152e-07
1.292905728452e+04, 3.635121e-07
1.297796365972e+04, 3.517012e-07
1.302687003492e+04, 3.452086e-07
1.307577641012e+04, 3.583220e-07
1.312468278532e+04, 3.614671e-07
1.317358916052e+04, 3.616156e-07
1.322249553572e+04, 3.692285e-07
1.327140191092e+04, 3.612241e-07
1.332030828612e+04, 3.512962e-07
1.336921466132e+04, 3.574514e-07
1.341812103652e+04, 3.609677e-07
1.346702741172e+04, 3.785355e-07
1.351593378692e+04, 3.955904e-07
1.356484016213e+04, 3.961911e-07
1.361374653733e+04, 3.895973e-07
1.366265291253e+04, 3.834151e-07
1.371155928773e+04, 3.585650e-07
1.376046566293e+04, 3.461197e-07
1.380937203813e+04, 3.502231e-07
1.385827841333e+04, 3.490488e-07
1.390718478853e+04, 3.399983e-07
1.395609116373e+04, 3.322503e-07
