% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 10 Hz, stop freq 1.000 kHz, RBW 4.700 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:30:06 -0700
% Frequency (Hz), Input A (V/rtHz)
8.149072527885e+00, 1.792648e-04
1.047737896442e+01, 6.209859e-05
1.280568540096e+01, 3.237104e-05
1.513399183750e+01, 2.206890e-05
1.746229827404e+01, 2.218744e-05
1.979060471058e+01, 3.577133e-05
2.211891114712e+01, 8.459292e-05
2.444721758366e+01, 1.152714e-04
2.677552402020e+01, 8.364955e-05
2.910383045673e+01, 3.524767e-05
3.143213689327e+01, 1.924850e-05
3.376044332981e+01, 3.360035e-05
3.608874976635e+01, 4.780367e-05
3.841705620289e+01, 4.731119e-05
4.074536263943e+01, 3.672790e-05
4.307366907597e+01, 2.172865e-05
4.540197551250e+01, 1.876742e-05
4.773028194904e+01, 2.559155e-05
5.005858838558e+01, 2.300152e-05
5.238689482212e+01, 1.964695e-05
5.471520125866e+01, 2.888120e-05
5.704350769520e+01, 3.836535e-05
5.937181413174e+01, 3.290917e-05
6.170012056828e+01, 1.852303e-05
6.402842700481e+01, 8.175799e-06
6.635673344135e+01, 5.543808e-06
6.868503987789e+01, 6.911385e-06
7.101334631443e+01, 1.008868e-05
7.334165275097e+01, 1.095630e-05
7.566995918751e+01, 8.676354e-06
7.799826562405e+01, 5.850065e-06
8.032657206059e+01, 4.692764e-06
8.265487849712e+01, 5.168798e-06
8.498318493366e+01, 6.532974e-06
8.731149137020e+01, 7.955601e-06
8.963979780674e+01, 8.504536e-06
9.196810424328e+01, 8.244801e-06
9.429641067982e+01, 7.490434e-06
9.662471711636e+01, 7.831499e-06
9.895302355289e+01, 9.578052e-06
1.012813299894e+02, 9.085825e-06
1.036096364260e+02, 6.788196e-06
1.059379428625e+02, 5.996034e-06
1.082662492990e+02, 6.570968e-06
1.105945557356e+02, 6.493968e-06
1.129228621721e+02, 5.744528e-06
1.152511686087e+02, 4.890265e-06
1.175794750452e+02, 3.815738e-06
1.199077814817e+02, 3.231546e-06
1.222360879183e+02, 3.249033e-06
1.245643943548e+02, 3.424767e-06
1.268927007914e+02, 3.257992e-06
1.292210072279e+02, 3.155011e-06
1.315493136644e+02, 4.193900e-06
1.338776201010e+02, 5.381812e-06
1.362059265375e+02, 5.020987e-06
1.385342329741e+02, 3.680370e-06
1.408625394106e+02, 2.795845e-06
1.431908458471e+02, 2.682760e-06
1.455191522837e+02, 2.982595e-06
1.478474587202e+02, 3.570752e-06
1.501757651567e+02, 3.313025e-06
1.525040715933e+02, 2.581305e-06
1.548323780298e+02, 2.237751e-06
1.571606844664e+02, 2.284820e-06
1.594889909029e+02, 2.512750e-06
1.618172973394e+02, 3.477460e-06
1.641456037760e+02, 4.715908e-06
1.664739102125e+02, 4.677782e-06
1.688022166491e+02, 3.855988e-06
1.711305230856e+02, 3.389958e-06
1.734588295221e+02, 2.716572e-06
1.757871359587e+02, 2.492973e-06
1.781154423952e+02, 2.475138e-06
1.804437488317e+02, 2.460504e-06
